区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
,,,,,,,,,,,,
东城,化工大院 ,3室1厅,96.26,920,95575,房本满五年,南北,精装,无,高楼层(共7层)1998年建板楼,,-
,,,,,,,,,,,,
东城,新奥洋房 ,4室2厅,244.51,1680,68709,房本满五年,南北,精装,无,顶层(共9层)2005年建板塔结合,,-
,,,,,,,,,,,,
东城,广渠家园 ,2室2厅,71.27,569,79838,房本满五年,东,精装,无,低楼层(共29层)2009年建板塔结合,,-
,,,,,,,,,,,,
东城,冠城名敦道 ,1室0厅,68.19,498,73032,房本满五年,东,精装,无,低楼层(共23层)2009年建塔楼,,-
,,,,,,,,,,,,
东城,豆瓣胡同 ,2室1厅,69.35,870,125451,房本满五年,西南,精装,无,顶层(共21层)2003年建板楼,,-
,,,,,,,,,,,,
东城,东棉花胡同 ,2室1厅,54.7,630,115174,房本满五年,东西,精装,无,中楼层(共6层)板楼,,-
,,,,,,,,,,,,
东城,地坛北门 ,3室1厅,70.23,690,98249,房本满五年,南北,简装,无,中楼层(共5层)1975年建板楼,,-
,,,,,,,,,,,,
东城,金世纪嘉园 ,3室1厅,132.33,1120,84637,房本满五年,南,简装,无,顶层(共18层)2003年建塔楼,,-
,,,,,,,,,,,,
东城,东厂胡同 ,3室1厅,95.8,995,103863,房本满五年,南西,简装,无,中楼层(共5层)1987年建板楼,,-
,,,,,,,,,,,,
东城,和平新城一期 ,2室1厅,126.38,1150,90996,房本满五年,西北,精装,无,低楼层(共19层)2003年建板塔结合,,-
,,,,,,,,,,,,
东城,桃杨路北里12号院 ,2室1厅,82.25,550,66870,房本满五年,南北,简装,无,低楼层(共6层)1999年建板楼,,-
,,,,,,,,,,,,
东城,东方银座 ,2室1厅,107.45,920,85622,房本满五年,南,简装,无,高楼层(共25层)2003年建塔楼,,-
,,,,,,,,,,,,
东城,竹杆胡同 ,1室1厅,54.75,560,102284,房本满五年,南,精装,无,顶层(共6层)2003年建板楼,,-
,,,,,,,,,,,,
东城,十字坡东里 ,2室1厅,57.47,520,90482,房本满五年,东西,毛坯,无,顶层(共6层)1986年建板楼,,-
,,,,,,,,,,,,
东城,和平里三区 ,1室1厅,40.57,445,109687,房本满五年,南西,简装,无,高楼层(共6层)1996年建板楼,,-
,,,,,,,,,,,,
东城,交道口东大街 ,2室1厅,76.87,998,129830,房本满五年,东南,精装,无,低楼层(共12层)2003年建板塔结合,,-
,,,,,,,,,,,,
